x y
1389.7033036933701 1001.742431355158
206.65242936655372 600.1646186820457
1006.4891305429044 404.0364727123479
1508.986666639021 805.7167881523404
1399.2440683881186 996.2120523337917
189.1330324583542 620.6703368830811
1515.7389126401865 800.1148467200151
184.23055322211238 580.2188573497762
1385.5770625410505 1003.8515987394792
1408.9720063885204 985.7429161230224
998.3265291215306 408.6776507227966
1001.0669693094059 405.6816237409371
1398.5435126327657 984.142059810321
923.1302806191593 1196.8909828840851
1500.7664465654318 792.3119792602207
185.2136688027868 596.3435582558552
892.6876397753775 1191.7166341061588
1487.8205295595903 780.882854854072
994.4777479659679 399.83414903477706
1001.6847162262876 386.7454991409136
1400.4858974989888 983.4792929635539
900.6398307468606 1193.6351555672263
916.6242356981263 1210.5679249426516
1002.5369451899446 386.8486734536506
195.3388305817473 599.7031962974648
187.25424829605186 594.0395692610349
902.9469641443926 1191.7556560431642
189.52780409700182 603.2019435111127
213.39186236471957 600.6775315258452
898.6061502009485 1192.6701627290959
1504.9816470514645 800.7856522717282
1497.0586947478741 790.7881706851174
890.1018058985231 1208.5298986636362
1496.153580031219 795.5936507000508
982.7863037797334 399.5495019403733
887.0338566580182 1202.913494087131
994.4359164322788 406.6947891787592
895.4277288027362 1193.2389214254208
1396.0572283538977 1004.3283839620088
1509.2147285326157 791.0351752587031
895.9079487459533 1188.3908356801992
1401.291841377901 1019.4494737209297
213.87660329011635 578.5506968978704
980.0254159599069 394.4654986780151
1497.7952834727812 802.9908746087841
1499.1092907790835 786.7645102844442
171.88320248282528 608.4366625760914
1389.6446280096898 991.4750334963596
1017.5964283256038 388.5360837524741
1416.5654363334056 1005.9730819894367
